train_leads.py gs
Calling the run method
[1][1/60][1/1] | loss: 8.959e-02 | loss_train: 1.063e-02 | loss_e0: 9.269e-02 | loss_e1: 4.571e-02 | loss_e2: 1.304e-01
[19][19/60][1/1] | loss: 4.735e-02 | loss_train: 9.551e-03 | loss_e0: 4.335e-02 | loss_e1: 4.924e-02 | loss_e2: 4.946e-02
[20][20/60][1/1] | loss: 4.742e-02 | loss_train: 1.058e-02 | loss_e0: 4.369e-02 | loss_e1: 5.075e-02 | loss_e2: 4.781e-02
[21][21/60][1/1] | loss: 4.791e-02 | loss_train: 1.188e-02 | loss_e0: 4.437e-02 | loss_e1: 5.237e-02 | loss_e2: 4.698e-02
[22][22/60][1/1] | loss: 4.834e-02 | loss_train: 9.735e-03 | loss_e0: 4.491e-02 | loss_e1: 5.338e-02 | loss_e2: 4.671e-02
[23][23/60][1/1] | loss: 4.824e-02 | loss_train: 9.549e-03 | loss_e0: 4.497e-02 | loss_e1: 5.342e-02 | loss_e2: 4.631e-02
[24][24/60][1/1] | loss: 4.769e-02 | loss_train: 9.519e-03 | loss_e0: 4.460e-02 | loss_e1: 5.273e-02 | loss_e2: 4.573e-02
[25][25/60][1/1] | loss: 4.680e-02 | loss_train: 9.814e-03 | loss_e0: 4.397e-02 | loss_e1: 5.153e-02 | loss_e2: 4.491e-02
[26][26/60][1/1] | loss: 4.569e-02 | loss_train: 9.784e-03 | loss_e0: 4.321e-02 | loss_e1: 4.986e-02 | loss_e2: 4.399e-02
[27][27/60][1/1] | loss: 4.457e-02 | loss_train: 1.125e-02 | loss_e0: 4.262e-02 | loss_e1: 4.808e-02 | loss_e2: 4.301e-02
[28][28/60][1/1] | loss: 4.366e-02 | loss_train: 9.332e-03 | loss_e0: 4.232e-02 | loss_e1: 4.682e-02 | loss_e2: 4.186e-02
[29][29/60][1/1] | loss: 4.289e-02 | loss_train: 9.298e-03 | loss_e0: 4.223e-02 | loss_e1: 4.564e-02 | loss_e2: 4.081e-02
[30][30/60][1/1] | loss: 4.227e-02 | loss_train: 9.269e-03 | loss_e0: 4.233e-02 | loss_e1: 4.459e-02 | loss_e2: 3.989e-02
[31][31/60][1/1] | loss: 4.178e-02 | loss_train: 9.246e-03 | loss_e0: 4.256e-02 | loss_e1: 4.369e-02 | loss_e2: 3.909e-02
[32][32/60][1/1] | loss: 4.139e-02 | loss_train: 9.332e-03 | loss_e0: 4.285e-02 | loss_e1: 4.294e-02 | loss_e2: 3.838e-02
[33][33/60][1/1] | loss: 4.108e-02 | loss_train: 1.126e-02 | loss_e0: 4.316e-02 | loss_e1: 4.232e-02 | loss_e2: 3.776e-02
[34][34/60][1/1] | loss: 4.081e-02 | loss_train: 9.189e-03 | loss_e0: 4.327e-02 | loss_e1: 4.204e-02 | loss_e2: 3.710e-02
[35][35/60][1/1] | loss: 4.054e-02 | loss_train: 9.469e-03 | loss_e0: 4.330e-02 | loss_e1: 4.181e-02 | loss_e2: 3.651e-02
[36][36/60][1/1] | loss: 4.031e-02 | loss_train: 1.025e-02 | loss_e0: 4.331e-02 | loss_e1: 4.160e-02 | loss_e2: 3.601e-02
[37][37/60][1/1] | loss: 4.008e-02 | loss_train: 1.160e-02 | loss_e0: 4.329e-02 | loss_e1: 4.137e-02 | loss_e2: 3.557e-02
[38][38/60][1/1] | loss: 3.984e-02 | loss_train: 9.699e-03 | loss_e0: 4.319e-02 | loss_e1: 4.118e-02 | loss_e2: 3.515e-02
[39][39/60][1/1] | loss: 3.959e-02 | loss_train: 9.096e-03 | loss_e0: 4.292e-02 | loss_e1: 4.104e-02 | loss_e2: 3.481e-02
[40][40/60][1/1] | loss: 3.936e-02 | loss_train: 1.092e-02 | loss_e0: 4.260e-02 | loss_e1: 4.092e-02 | loss_e2: 3.456e-02
[41][41/60][1/1] | loss: 3.909e-02 | loss_train: 9.541e-03 | loss_e0: 4.207e-02 | loss_e1: 4.082e-02 | loss_e2: 3.439e-02
[42][42/60][1/1] | loss: 3.888e-02 | loss_train: 9.734e-03 | loss_e0: 4.166e-02 | loss_e1: 4.076e-02 | loss_e2: 3.423e-02
[43][43/60][1/1] | loss: 3.871e-02 | loss_train: 1.344e-02 | loss_e0: 4.137e-02 | loss_e1: 4.072e-02 | loss_e2: 3.403e-02
[44][44/60][1/1] | loss: 3.852e-02 | loss_train: 9.564e-03 | loss_e0: 4.101e-02 | loss_e1: 4.066e-02 | loss_e2: 3.388e-02
[45][45/60][1/1] | loss: 3.834e-02 | loss_train: 9.210e-03 | loss_e0: 4.081e-02 | loss_e1: 4.058e-02 | loss_e2: 3.362e-02
[46][46/60][1/1] | loss: 3.815e-02 | loss_train: 9.247e-03 | loss_e0: 4.064e-02 | loss_e1: 4.047e-02 | loss_e2: 3.333e-02
[47][47/60][1/1] | loss: 3.794e-02 | loss_train: 1.347e-02 | loss_e0: 4.047e-02 | loss_e1: 4.033e-02 | loss_e2: 3.303e-02
[48][48/60][1/1] | loss: 3.767e-02 | loss_train: 9.737e-03 | loss_e0: 4.023e-02 | loss_e1: 4.002e-02 | loss_e2: 3.278e-02
[49][49/60][1/1] | loss: 3.742e-02 | loss_train: 9.163e-03 | loss_e0: 3.994e-02 | loss_e1: 3.978e-02 | loss_e2: 3.254e-02
[50][50/60][1/1] | loss: 3.719e-02 | loss_train: 1.088e-02 | loss_e0: 3.963e-02 | loss_e1: 3.960e-02 | loss_e2: 3.234e-02

Print loss test
: [0.04122687876224518, 0.05460021644830704, 0.03954517841339111, 0.040751997381448746, 0.04287044331431389, 0.04001050814986229, 0.038498569279909134, 0.03848675265908241, 0.03968384489417076, 0.03797190263867378, 0.04331592097878456, 0.04065052792429924, 0.04010380432009697, 0.03988437354564667, 0.04075774922966957, 0.038486916571855545, 0.04043318331241608, 0.038368772715330124, 0.04325755685567856, 0.0395464152097702, 0.04116194695234299, 0.037388525903224945, 0.042980942875146866, 0.044162847101688385, 0.03834930434823036, 0.03713395446538925, 0.03913471847772598, 0.04088757559657097, 0.04238126426935196, 0.04271471127867699, 0.040470123291015625, 0.03941267356276512]
[50][50/60][1/1] | loss_test_mean: 4.077e-02 | loss_test_std: 3.121e-03
[51][51/60][1/1] | loss: 3.696e-02 | loss_train: 9.316e-03 | loss_e0: 3.934e-02 | loss_e1: 3.941e-02 | loss_e2: 3.213e-02
[52][52/60][1/1] | loss: 3.674e-02 | loss_train: 9.624e-03 | loss_e0: 3.908e-02 | loss_e1: 3.924e-02 | loss_e2: 3.189e-02
[53][53/60][1/1] | loss: 3.654e-02 | loss_train: 8.993e-03 | loss_e0: 3.887e-02 | loss_e1: 3.910e-02 | loss_e2: 3.167e-02
[54][54/60][1/1] | loss: 3.638e-02 | loss_train: 8.921e-03 | loss_e0: 3.869e-02 | loss_e1: 3.895e-02 | loss_e2: 3.150e-02
[55][55/60][1/1] | loss: 3.625e-02 | loss_train: 9.578e-03 | loss_e0: 3.856e-02 | loss_e1: 3.881e-02 | loss_e2: 3.136e-02
[56][56/60][1/1] | loss: 3.616e-02 | loss_train: 9.215e-03 | loss_e0: 3.846e-02 | loss_e1: 3.874e-02 | loss_e2: 3.128e-02
[57][57/60][1/1] | loss: 3.615e-02 | loss_train: 9.083e-03 | loss_e0: 3.839e-02 | loss_e1: 3.879e-02 | loss_e2: 3.125e-02
[58][58/60][1/1] | loss: 3.619e-02 | loss_train: 9.073e-03 | loss_e0: 3.838e-02 | loss_e1: 3.893e-02 | loss_e2: 3.124e-02
[59][59/60][1/1] | loss: 3.622e-02 | loss_train: 9.622e-03 | loss_e0: 3.838e-02 | loss_e1: 3.907e-02 | loss_e2: 3.119e-02
[60][60/60][1/1] | loss: 3.614e-02 | loss_train: 9.275e-03 | loss_e0: 3.835e-02 | loss_e1: 3.910e-02 | loss_e2: 3.096e-02
